Run Iter RMSE Test_Error
114 0 0.325773 0.501156 
114 1 0.228474 0.506995 
114 2 0.179529 0.512638 
114 3 0.213980 0.515354 
114 4 0.114926 0.517512 
114 5 0.090513 0.519939 
114 6 0.048381 0.524815 
114 7 0.072829 0.528557 
114 8 0.105439 0.532150 
114 9 0.072022 0.534871 
114 10 0.079814 0.538132 
114 11 0.094844 0.540680 
114 12 0.067686 0.543069 
114 13 0.063706 0.544914 
114 14 0.064476 0.547318 
114 15 0.069041 0.548480 
114 16 0.125666 0.548962 
114 17 0.142074 0.550318 
114 18 0.136113 0.551615 
114 19 0.114114 0.553042 
114 20 0.096195 0.553901 
114 21 0.103601 0.555522 
114 22 0.105753 0.556557 
114 23 0.124582 0.557276 
114 24 0.141381 0.558099 
114 25 0.122579 0.558925 
114 26 0.128603 0.559449 
114 27 0.132328 0.559714 
114 28 0.116704 0.560348 
114 29 0.115268 0.561217 
114 30 0.095729 0.561636 
114 31 0.087666 0.562615 
114 32 0.066603 0.563354 
114 33 0.075712 0.563680 
114 34 0.079238 0.563469 
114 35 0.097312 0.563426 
114 36 0.104599 0.563501 
114 37 0.091012 0.564133 
114 38 0.103870 0.564323 
114 39 0.121183 0.564081 
114 40 0.139042 0.564503 
114 41 0.141659 0.564708 
114 42 0.132638 0.565117 
114 43 0.123776 0.565579 
114 44 0.102866 0.565813 
114 45 0.098247 0.566149 
114 46 0.087795 0.566768 
114 47 0.072029 0.567171 
114 48 0.071828 0.567059 
114 49 0.071435 0.567127 
114 50 0.073903 0.567314 
114 51 0.086745 0.567527 
114 52 0.076272 0.567700 
114 53 0.066604 0.568381 
114 54 0.073601 0.568625 
114 55 0.076075 0.568755 
114 56 0.086828 0.569258 
114 57 0.068470 0.569244 
114 58 0.078178 0.569429 
114 59 0.073281 0.569684 
114 60 0.065465 0.569865 
114 61 0.065129 0.570040 
114 62 0.070403 0.570294 
114 63 0.068478 0.570259 
114 64 0.073791 0.570425 
114 65 0.083480 0.570227 
114 66 0.084148 0.570233 
114 67 0.072676 0.569995 
114 68 0.077958 0.570390 
114 69 0.064391 0.570559 
114 70 0.063049 0.570793 
12 0 0.220814 0.485647 
12 1 0.193677 0.494693 
12 2 0.175743 0.504350 
12 3 0.175621 0.512497 
12 4 0.178688 0.519317 
12 5 0.212282 0.523237 
12 6 0.167141 0.525342 
12 7 0.126043 0.528248 
12 8 0.134077 0.531263 
12 9 0.153452 0.531988 
12 10 0.145483 0.535010 
12 11 0.129213 0.535783 
12 12 0.149826 0.535863 
12 13 0.124179 0.537260 
12 14 0.107047 0.539840 
12 15 0.098989 0.540105 
12 16 0.118096 0.540618 
12 17 0.129989 0.540772 
12 18 0.125624 0.541788 
12 19 0.111860 0.542069 
12 20 0.075911 0.542506 
12 21 0.075159 0.543228 
12 22 0.073226 0.543288 
12 23 0.094068 0.543830 
12 24 0.082206 0.544147 
12 25 0.089191 0.544178 
12 26 0.080660 0.545135 
12 27 0.103037 0.545809 
12 28 0.107516 0.546397 
12 29 0.111593 0.546633 
12 30 0.102155 0.547280 
12 31 0.099980 0.548190 
12 32 0.079383 0.549208 
12 33 0.076860 0.549560 
12 34 0.075191 0.549742 
12 35 0.066420 0.550721 
