Run Iter RMSE Test_Error
25 0 0.605141 0.488319 
25 1 0.658383 0.510424 
25 2 0.590979 0.521159 
25 3 0.457851 0.532306 
25 4 0.232444 0.542396 
25 5 0.247119 0.551374 
25 6 0.157707 0.555130 
25 7 0.073854 0.558663 
25 8 0.114169 0.562121 
25 9 0.112318 0.565631 
25 10 0.090664 0.567426 
25 11 0.098624 0.571039 
25 12 0.089663 0.573370 
25 13 0.063961 0.574611 
25 14 0.061515 0.577019 
25 15 0.077952 0.580087 
25 16 0.060859 0.581162 
25 17 0.057525 0.582232 
25 18 0.099330 0.582875 
25 19 0.121406 0.584348 
25 20 0.111842 0.586623 
25 21 0.093810 0.586981 
25 22 0.088018 0.588100 
25 23 0.081445 0.589188 
25 24 0.086943 0.590583 
25 25 0.078576 0.591159 
25 26 0.097347 0.592612 
25 27 0.110526 0.593530 
25 28 0.108937 0.593521 
25 29 0.103572 0.594140 
25 30 0.097650 0.594761 
25 31 0.103510 0.594990 
25 32 0.099523 0.595569 
25 33 0.101249 0.595574 
25 34 0.078259 0.595835 
25 35 0.098857 0.596919 
25 36 0.116343 0.597984 
25 37 0.120851 0.598174 
25 38 0.115185 0.598966 
25 39 0.104072 0.599428 
25 40 0.108068 0.599425 
25 41 0.102802 0.599577 
25 42 0.090456 0.599938 
25 43 0.086872 0.600302 
25 44 0.085456 0.600350 
25 45 0.086963 0.600549 
25 46 0.077220 0.600354 
25 47 0.075305 0.600293 
25 48 0.072827 0.600025 
25 49 0.081052 0.600618 
25 50 0.083129 0.601037 
25 51 0.087403 0.601195 
25 52 0.084628 0.601915 
25 53 0.081752 0.601590 
25 54 0.076453 0.601913 
25 55 0.078352 0.602614 
25 56 0.089820 0.602936 
25 57 0.094494 0.603206 
25 58 0.106784 0.603703 
25 59 0.105746 0.603881 
25 60 0.109098 0.604323 
25 61 0.103850 0.604394 
25 62 0.104804 0.604859 
25 63 0.095139 0.605210 
25 64 0.094893 0.605582 
25 65 0.095953 0.606162 
25 66 0.086831 0.606737 
25 67 0.086653 0.607016 
25 68 0.089772 0.607052 
