Run Iter RMSE Test_Error
113 0 0.269829 0.489037 
113 1 0.090308 0.510076 
113 2 0.044685 0.523165 
113 3 0.069493 0.534071 
113 4 0.052849 0.543176 
113 5 0.088367 0.550071 
113 6 0.047690 0.556712 
113 7 0.062590 0.561489 
113 8 0.065898 0.565286 
113 9 0.036813 0.569492 
113 10 0.031900 0.573743 
113 11 0.035365 0.575904 
113 12 0.038818 0.578783 
113 13 0.029470 0.580857 
113 14 0.040019 0.582081 
113 15 0.047380 0.584144 
113 16 0.055434 0.585943 
113 17 0.057491 0.587427 
113 18 0.063979 0.588645 
113 19 0.048092 0.589510 
113 20 0.043947 0.591011 
113 21 0.053986 0.592574 
113 22 0.060738 0.593331 
113 23 0.059997 0.594308 
113 24 0.067792 0.595052 
113 25 0.060513 0.595843 
113 26 0.061429 0.596789 
113 27 0.056087 0.597425 
113 28 0.045158 0.598073 
113 29 0.043445 0.599127 
113 30 0.046020 0.599728 
113 31 0.044331 0.600778 
113 32 0.044820 0.601470 
113 33 0.040206 0.601986 
113 34 0.039432 0.602471 
113 35 0.040934 0.602876 
113 36 0.036111 0.603600 
113 37 0.039660 0.603906 
113 38 0.036084 0.604570 
113 39 0.034536 0.605112 
113 40 0.039960 0.605291 
113 41 0.043962 0.605626 
113 42 0.039935 0.606279 
113 43 0.044296 0.606792 
113 44 0.047235 0.607128 
113 45 0.043371 0.607535 
113 46 0.040361 0.607953 
113 47 0.041113 0.608176 
113 48 0.038649 0.608597 
113 49 0.039731 0.608697 
113 50 0.038736 0.609207 
113 51 0.042401 0.609513 
113 52 0.043729 0.609910 
113 53 0.041511 0.610196 
113 54 0.039771 0.610638 
113 55 0.042361 0.610909 
113 56 0.040556 0.611174 
113 57 0.043197 0.611233 
113 58 0.043275 0.611352 
113 59 0.040074 0.611725 
113 60 0.038398 0.611829 
113 61 0.036653 0.611943 
113 62 0.037940 0.612161 
113 63 0.041487 0.612271 
113 64 0.039518 0.612512 
113 65 0.038680 0.612784 
113 66 0.039851 0.612839 
113 67 0.040173 0.612994 
113 68 0.037311 0.612989 
113 69 0.033258 0.613038 
113 70 0.034012 0.613307 
103 0 0.106273 0.496142 
