Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
141 0 0.539420 0.488769 
141 1 0.532558 0.500281 
141 2 0.459761 0.508624 
141 3 0.324823 0.517966 
141 4 0.345152 0.525015 
141 5 0.279062 0.528242 
141 6 0.258669 0.532795 
141 7 0.277308 0.536249 
141 8 0.237566 0.538608 
141 9 0.270616 0.540633 
141 10 0.278517 0.543296 
141 11 0.264534 0.542942 
141 12 0.240277 0.544118 
141 13 0.211613 0.545159 
141 14 0.192246 0.546728 
141 15 0.174374 0.548342 
141 16 0.152224 0.548653 
141 17 0.148396 0.549918 
141 18 0.130636 0.551381 
141 19 0.118864 0.552632 
141 20 0.103743 0.553757 
141 21 0.085610 0.554345 
141 22 0.083246 0.555108 
141 23 0.080743 0.555945 
141 24 0.078271 0.556454 
141 25 0.081321 0.556767 
141 26 0.083144 0.557351 
141 27 0.077589 0.557878 
141 28 0.091407 0.558676 
141 29 0.102453 0.559520 
141 30 0.114425 0.559532 
141 31 0.121871 0.559652 
141 32 0.116503 0.559852 
141 33 0.133037 0.560298 
141 34 0.119066 0.561562 
141 35 0.135870 0.562159 
141 36 0.139500 0.562602 
141 37 0.119662 0.563011 
141 38 0.118309 0.563212 
141 39 0.110668 0.563426 
141 40 0.117220 0.564072 
141 41 0.114803 0.564501 
141 42 0.091508 0.564988 
141 43 0.088187 0.565230 
141 44 0.102679 0.565140 
141 45 0.106960 0.565679 
141 46 0.108008 0.565633 
141 47 0.091524 0.565749 
141 48 0.093157 0.565980 
141 49 0.101721 0.566034 
141 50 0.112898 0.566438 
141 51 0.110803 0.566407 
141 52 0.106976 0.566928 
141 53 0.105796 0.567303 
141 54 0.101940 0.567314 
141 55 0.095281 0.567413 
141 56 0.123220 0.567399 
141 57 0.131504 0.567494 
141 58 0.125562 0.567940 
141 59 0.117336 0.568165 
141 60 0.119748 0.568422 
141 61 0.129961 0.568448 
141 62 0.134161 0.568462 
141 63 0.135462 0.568630 
141 64 0.133274 0.568793 
141 65 0.136554 0.569106 
141 66 0.119947 0.569219 
141 67 0.121570 0.569155 
141 68 0.106558 0.569553 
141 69 0.092372 0.569699 
141 70 0.082935 0.569912 
162 0 0.787764 0.497430 
162 1 0.591510 0.511392 
162 2 0.348471 0.514254 
162 3 0.278858 0.516481 
162 4 0.351751 0.520181 
162 5 0.365504 0.524743 
162 6 0.449691 0.528503 
162 7 0.501064 0.531875 
162 8 0.238239 0.536056 
162 9 0.152819 0.536661 
162 10 0.172318 0.536493 
162 11 0.180757 0.536938 
162 12 0.184483 0.537766 
162 13 0.180734 0.538042 
162 14 0.206722 0.539259 
162 15 0.222258 0.539918 
162 16 0.237913 0.540332 
162 17 0.233002 0.542025 
162 18 0.211312 0.543174 
162 19 0.206778 0.543605 
162 20 0.180122 0.544850 
162 21 0.197790 0.545487 
162 22 0.177557 0.545776 
162 23 0.194974 0.545698 
162 24 0.181682 0.546023 
162 25 0.181698 0.545737 
162 26 0.181620 0.546827 
162 27 0.163252 0.546954 
162 28 0.180060 0.546957 
162 29 0.168071 0.547316 
162 30 0.160043 0.546920 
162 31 0.171269 0.547346 
162 32 0.183168 0.547198 
162 33 0.195168 0.546925 
162 34 0.185007 0.547023 
162 35 0.185776 0.547016 
162 36 0.177477 0.547273 
162 37 0.183926 0.547476 
162 38 0.176186 0.547083 
162 39 0.185238 0.546928 
162 40 0.195813 0.546726 
162 41 0.178666 0.547031 
162 42 0.179407 0.546994 
162 43 0.175541 0.547304 
162 44 0.172626 0.547315 
162 45 0.167251 0.547671 
162 46 0.163325 0.547564 
162 47 0.154493 0.547434 
162 48 0.159859 0.547416 
162 49 0.151759 0.547402 
162 50 0.161032 0.547187 
162 51 0.163702 0.547168 
162 52 0.172965 0.547106 
162 53 0.162190 0.547191 
162 54 0.169971 0.547237 
162 55 0.162753 0.547156 
162 56 0.164837 0.547051 
162 57 0.158864 0.547212 
162 58 0.161935 0.547206 
162 59 0.163469 0.546976 
162 60 0.157962 0.546742 
162 61 0.156134 0.546749 
162 62 0.160640 0.546986 
162 63 0.152437 0.547195 
162 64 0.163703 0.547080 
162 65 0.158205 0.547216 
162 66 0.159830 0.547126 
162 67 0.169781 0.547074 
162 68 0.161614 0.547283 
162 69 0.155230 0.547262 
162 70 0.153378 0.547401 
16 0 0.798536 0.496469 
16 1 0.686380 0.504427 
16 2 0.637409 0.513339 
16 3 0.533402 0.518083 
16 4 0.497369 0.520698 
16 5 0.454612 0.522632 
16 6 0.427047 0.525497 
16 7 0.370472 0.526823 
16 8 0.399242 0.529241 
16 9 0.390316 0.531947 
16 10 0.336535 0.535404 
16 11 0.323123 0.537528 
16 12 0.322116 0.540345 
16 13 0.295628 0.542185 
16 14 0.242583 0.544488 
16 15 0.220237 0.545947 
16 16 0.210792 0.547540 
16 17 0.210944 0.549673 
16 18 0.194902 0.551330 
16 19 0.193084 0.553531 
16 20 0.192452 0.554576 
16 21 0.188325 0.555887 
16 22 0.192367 0.555917 
16 23 0.187894 0.556759 
16 24 0.187510 0.557767 
16 25 0.182909 0.558531 
16 26 0.192431 0.559072 
16 27 0.180356 0.559596 
16 28 0.183022 0.560133 
16 29 0.172368 0.561027 
16 30 0.178414 0.561937 
16 31 0.174273 0.562750 
16 32 0.174533 0.563257 
16 33 0.177806 0.563061 
16 34 0.181224 0.563040 
16 35 0.173461 0.563103 
16 36 0.165137 0.563336 
16 37 0.165079 0.563102 
16 38 0.163711 0.563436 
16 39 0.163310 0.563309 
16 40 0.161419 0.563471 
16 41 0.163498 0.563135 
16 42 0.165073 0.563179 
16 43 0.159810 0.563506 
16 44 0.159806 0.563696 
16 45 0.158193 0.564034 
16 46 0.147225 0.564564 
16 47 0.143160 0.564823 
16 48 0.141910 0.564895 
16 49 0.142583 0.564745 
16 50 0.142576 0.564640 
16 51 0.145847 0.564838 
16 52 0.139425 0.565000 
16 53 0.141618 0.565250 
16 54 0.140937 0.565009 
16 55 0.139705 0.565210 
16 56 0.139887 0.565428 
16 57 0.136011 0.565666 
16 58 0.132900 0.565605 
16 59 0.133782 0.565639 
16 60 0.136771 0.565515 
16 61 0.140232 0.565482 
16 62 0.138257 0.565627 
16 63 0.140035 0.565545 
16 64 0.139533 0.565897 
16 65 0.140279 0.566019 
16 66 0.136842 0.566108 
16 67 0.132858 0.566076 
16 68 0.134025 0.565932 
16 69 0.127443 0.565984 
16 70 0.127411 0.566222 
121 0 0.604155 0.490894 
121 1 0.614344 0.502783 
121 2 0.397457 0.514437 
121 3 0.471965 0.520226 
121 4 0.408884 0.524522 
121 5 0.371595 0.531134 
121 6 0.323563 0.534465 
121 7 0.360134 0.537797 
121 8 0.329699 0.540463 
121 9 0.335411 0.541766 
121 10 0.317621 0.543923 
121 11 0.303448 0.545540 
121 12 0.291941 0.546652 
121 13 0.279419 0.548463 
121 14 0.272420 0.550310 
121 15 0.283407 0.551298 
121 16 0.257337 0.552338 
121 17 0.269049 0.552304 
121 18 0.243316 0.552788 
121 19 0.235262 0.553746 
121 20 0.244490 0.554328 
121 21 0.257744 0.554988 
121 22 0.290905 0.555135 
121 23 0.308577 0.555996 
121 24 0.274995 0.556873 
121 25 0.271305 0.557548 
121 26 0.286282 0.557965 
121 27 0.274477 0.557954 
121 28 0.252225 0.558783 
121 29 0.226985 0.559546 
121 30 0.225791 0.560126 
121 31 0.217365 0.560071 
121 32 0.219428 0.560454 
121 33 0.200581 0.561217 
121 34 0.212665 0.561576 
121 35 0.217582 0.561719 
121 36 0.197605 0.562658 
121 37 0.193688 0.563137 
121 38 0.187383 0.563225 
121 39 0.179248 0.564210 
121 40 0.183186 0.564395 
121 41 0.194903 0.564638 
121 42 0.195130 0.564969 
121 43 0.185872 0.565142 
121 44 0.175229 0.565253 
121 45 0.159996 0.565643 
121 46 0.152772 0.565901 
121 47 0.146102 0.566072 
121 48 0.146921 0.566295 
121 49 0.143630 0.566300 
121 50 0.137324 0.566336 
121 51 0.136313 0.566700 
121 52 0.135095 0.566879 
121 53 0.132866 0.567052 
121 54 0.137090 0.567035 
121 55 0.137536 0.567232 
121 56 0.136757 0.567479 
121 57 0.135386 0.567661 
121 58 0.135674 0.568099 
121 59 0.136332 0.568291 
121 60 0.130418 0.568601 
121 61 0.129867 0.568694 
121 62 0.129750 0.568842 
121 63 0.126231 0.569102 
121 64 0.127003 0.569351 
121 65 0.123303 0.569432 
121 66 0.122516 0.569453 
121 67 0.122807 0.569766 
121 68 0.120358 0.569762 
121 69 0.122325 0.569960 
121 70 0.118436 0.570156 
137 0 0.165785 0.493314 
137 1 0.247572 0.503522 
137 2 0.283233 0.511921 
137 3 0.234163 0.517222 
137 4 0.156815 0.525481 
137 5 0.144854 0.529407 
137 6 0.119655 0.532503 
137 7 0.113897 0.533663 
137 8 0.093121 0.536646 
137 9 0.044576 0.539702 
137 10 0.055391 0.541108 
137 11 0.066596 0.542644 
137 12 0.024075 0.543910 
137 13 0.030585 0.545644 
137 14 0.030164 0.547087 
137 15 0.018523 0.548931 
137 16 0.014505 0.551086 
137 17 0.038636 0.551733 
137 18 0.030705 0.553405 
137 19 0.023163 0.554254 
137 20 0.020206 0.554830 
137 21 0.028686 0.556134 
137 22 0.014675 0.556789 
137 23 0.010805 0.558006 
137 24 0.009066 0.558709 
137 25 0.016122 0.559194 
137 26 0.015342 0.559402 
137 27 0.013006 0.560222 
137 28 0.013364 0.560729 
137 29 0.007138 0.561574 
137 30 0.012575 0.562279 
137 31 0.016818 0.562636 
137 32 0.018770 0.563098 
137 33 0.019475 0.563478 
137 34 0.033958 0.563447 
137 35 0.034909 0.564018 
137 36 0.042912 0.564260 
137 37 0.044678 0.564684 
137 38 0.050672 0.564909 
137 39 0.052604 0.565209 
