Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
30 0 0.244533 0.482680 
30 1 0.133421 0.502085 
30 2 0.177335 0.516310 
30 3 0.220896 0.527914 
30 4 0.188679 0.537012 
30 5 0.097809 0.546532 
30 6 0.091376 0.553704 
30 7 0.104607 0.558381 
30 8 0.121494 0.563469 
30 9 0.081002 0.567294 
30 10 0.073662 0.570674 
30 11 0.062921 0.573754 
30 12 0.095607 0.575680 
30 13 0.075309 0.578412 
30 14 0.076222 0.580405 
30 15 0.065882 0.582962 
30 16 0.062186 0.585050 
30 17 0.047603 0.587215 
30 18 0.042856 0.588530 
30 19 0.042460 0.590364 
30 20 0.029647 0.592228 
30 21 0.032077 0.593321 
30 22 0.032256 0.594358 
30 23 0.023712 0.595262 
30 24 0.020880 0.596334 
30 25 0.023944 0.597191 
30 26 0.028299 0.597490 
30 27 0.036559 0.598035 
30 28 0.041861 0.598401 
30 29 0.044721 0.598708 
30 30 0.046887 0.599453 
30 31 0.055630 0.600087 
30 32 0.051937 0.600597 
30 33 0.052931 0.601228 
30 34 0.042112 0.601880 
30 35 0.041514 0.602370 
30 36 0.043579 0.602723 
30 37 0.041484 0.602934 
30 38 0.044500 0.603332 
30 39 0.040354 0.603612 
30 40 0.033971 0.604211 
30 41 0.030991 0.605008 
30 42 0.032493 0.605209 
30 43 0.025985 0.605795 
30 44 0.031263 0.606129 
30 45 0.024431 0.606465 
30 46 0.027060 0.606768 
30 47 0.025344 0.607086 
30 48 0.024150 0.607565 
30 49 0.027728 0.607721 
30 50 0.029281 0.607970 
30 51 0.030900 0.608231 
30 52 0.030446 0.608474 
30 53 0.035439 0.608780 
30 54 0.034594 0.608907 
30 55 0.029651 0.609284 
30 56 0.027837 0.609634 
30 57 0.022810 0.609903 
30 58 0.024898 0.610157 
30 59 0.024691 0.610425 
30 60 0.022473 0.610753 
30 61 0.020624 0.611120 
30 62 0.022459 0.611451 
30 63 0.026108 0.611395 
30 64 0.025605 0.611698 
30 65 0.027501 0.612104 
30 66 0.025413 0.612217 
30 67 0.024610 0.612383 
30 68 0.024077 0.612438 
30 69 0.025502 0.612569 
30 70 0.028139 0.612644 
169 0 0.072326 0.490054 
169 1 0.118185 0.511825 
169 2 0.114225 0.527236 
169 3 0.170474 0.538276 
169 4 0.168592 0.546950 
169 5 0.175228 0.554318 
169 6 0.147081 0.560237 
169 7 0.132629 0.565342 
169 8 0.093938 0.569521 
169 9 0.100991 0.572641 
169 10 0.082551 0.575535 
169 11 0.060512 0.578160 
169 12 0.052375 0.579754 
169 13 0.064291 0.582182 
169 14 0.042852 0.583023 
169 15 0.040386 0.584435 
169 16 0.051912 0.586388 
169 17 0.046549 0.588068 
169 18 0.036978 0.589421 
169 19 0.041980 0.590416 
169 20 0.040481 0.592243 
169 21 0.059477 0.593299 
169 22 0.049918 0.594812 
169 23 0.052041 0.595343 
169 24 0.054775 0.595820 
169 25 0.046864 0.597079 
169 26 0.046373 0.597482 
169 27 0.043180 0.598415 
169 28 0.043993 0.599275 
169 29 0.037649 0.599320 
169 30 0.044939 0.599756 
169 31 0.058699 0.600878 
169 32 0.061121 0.601063 
169 33 0.064420 0.602013 
169 34 0.069686 0.602297 
169 35 0.067480 0.602699 
169 36 0.061244 0.603273 
169 37 0.063432 0.603966 
169 38 0.068354 0.604122 
169 39 0.075132 0.604428 
169 40 0.064688 0.605230 
169 41 0.057206 0.605737 
169 42 0.055959 0.606087 
169 43 0.049266 0.606502 
169 44 0.049367 0.607135 
169 45 0.040898 0.607510 
169 46 0.041025 0.607554 
169 47 0.034466 0.607717 
169 48 0.036509 0.608138 
169 49 0.040814 0.608590 
169 50 0.041489 0.608739 
169 51 0.038536 0.608768 
169 52 0.037378 0.608856 
169 53 0.025905 0.609130 
169 54 0.026093 0.609393 
169 55 0.025198 0.609552 
169 56 0.030329 0.609709 
169 57 0.028666 0.610038 
169 58 0.029168 0.610162 
169 59 0.031130 0.610297 
169 60 0.029833 0.610696 
169 61 0.028719 0.610919 
169 62 0.026417 0.611049 
169 63 0.025179 0.611218 
169 64 0.026592 0.611296 
169 65 0.024915 0.611515 
169 66 0.024121 0.611591 
169 67 0.021766 0.611870 
169 68 0.021660 0.612017 
169 69 0.023100 0.612105 
169 70 0.024649 0.611998 
100 0 0.817372 0.486181 
100 1 0.574644 0.505620 
100 2 0.478839 0.519447 
100 3 0.428350 0.530833 
100 4 0.351371 0.541868 
100 5 0.324765 0.549094 
100 6 0.291260 0.553901 
