Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
114 0 0.852894 0.481015 
114 1 0.765243 0.495844 
114 2 0.664103 0.510136 
114 3 0.495251 0.518642 
114 4 0.583406 0.524160 
114 5 0.513939 0.528124 
114 6 0.486242 0.532683 
114 7 0.282596 0.541476 
114 8 0.214460 0.547462 
114 9 0.224354 0.550578 
114 10 0.218911 0.551599 
114 11 0.246662 0.554230 
114 12 0.255269 0.557902 
114 13 0.228652 0.560614 
114 14 0.228600 0.562221 
114 15 0.218625 0.562918 
114 16 0.211849 0.565186 
114 17 0.236471 0.567327 
114 18 0.216942 0.569559 
114 19 0.213079 0.570621 
114 20 0.159969 0.571386 
114 21 0.139539 0.573672 
114 22 0.165655 0.574371 
114 23 0.125318 0.576411 
114 24 0.122986 0.577541 
114 25 0.104590 0.579321 
114 26 0.126014 0.580151 
114 27 0.131076 0.581224 
114 28 0.122170 0.582311 
114 29 0.149959 0.582274 
114 30 0.160921 0.582765 
114 31 0.167251 0.583443 
114 32 0.157681 0.583860 
114 33 0.143416 0.584773 
114 34 0.154662 0.585031 
114 35 0.160150 0.585806 
114 36 0.160969 0.586522 
114 37 0.161244 0.586814 
114 38 0.184871 0.586201 
114 39 0.180993 0.586636 
114 40 0.156836 0.588235 
114 41 0.137570 0.589644 
114 42 0.129884 0.590339 
114 43 0.115531 0.591271 
114 44 0.105439 0.591772 
114 45 0.107331 0.591853 
114 46 0.105251 0.592422 
114 47 0.099935 0.592808 
114 48 0.108778 0.593331 
114 49 0.119561 0.593248 
114 50 0.113338 0.593908 
114 51 0.131386 0.593336 
114 52 0.137958 0.593701 
114 53 0.134324 0.594132 
114 54 0.136879 0.594438 
114 55 0.133188 0.595243 
114 56 0.135507 0.595467 
114 57 0.136986 0.595610 
114 58 0.133844 0.595856 
114 59 0.142738 0.596345 
114 60 0.144386 0.596595 
114 61 0.141649 0.597022 
114 62 0.145205 0.597144 
114 63 0.132475 0.597439 
114 64 0.139489 0.597642 
114 65 0.138783 0.597946 
114 66 0.149868 0.598082 
114 67 0.143717 0.598382 
114 68 0.134347 0.598811 
114 69 0.138656 0.598660 
114 70 0.128494 0.598884 
114 71 0.131732 0.598938 
114 72 0.130611 0.599082 
114 73 0.122253 0.599261 
114 74 0.128395 0.599293 
114 75 0.122797 0.599627 
114 76 0.124543 0.600072 
114 77 0.124260 0.600502 
114 78 0.115968 0.600744 
114 79 0.116545 0.600924 
114 80 0.118085 0.601034 
114 81 0.109326 0.601466 
114 82 0.110329 0.601318 
114 83 0.105022 0.601463 
114 84 0.107144 0.601500 
114 85 0.108762 0.601433 
114 86 0.107237 0.601762 
114 87 0.107271 0.601927 
114 88 0.102895 0.602241 
114 89 0.103087 0.602261 
114 90 0.101411 0.602367 
114 91 0.105154 0.602491 
114 92 0.102886 0.602679 
114 93 0.099786 0.602809 
114 94 0.090670 0.603189 
114 95 0.086881 0.603261 
114 96 0.085752 0.603266 
114 97 0.083703 0.603556 
114 98 0.082834 0.603614 
114 99 0.082770 0.603754 
114 100 0.081911 0.603998 
114 101 0.081103 0.604189 
114 102 0.082439 0.604136 
114 103 0.083492 0.604269 
114 104 0.089377 0.604379 
114 105 0.082411 0.604562 
114 106 0.082830 0.604532 
114 107 0.086156 0.604568 
114 108 0.085700 0.604793 
114 109 0.089216 0.605008 
114 110 0.090872 0.605103 
114 111 0.086604 0.605065 
114 112 0.090362 0.605007 
114 113 0.089204 0.605359 
114 114 0.090953 0.605534 
114 115 0.090135 0.605577 
114 116 0.091363 0.606017 
114 117 0.091762 0.606262 
114 118 0.090483 0.606447 
114 119 0.089250 0.606452 
114 120 0.088903 0.606517 
114 121 0.091570 0.606583 
114 122 0.088582 0.606778 
114 123 0.089398 0.607022 
114 124 0.089977 0.607224 
114 125 0.087649 0.607286 
114 126 0.094734 0.607504 
114 127 0.095870 0.607456 
114 128 0.093440 0.607695 
114 129 0.091130 0.607683 
114 130 0.091955 0.607843 
114 131 0.095215 0.607835 
114 132 0.094055 0.607967 
114 133 0.094905 0.608026 
114 134 0.095349 0.608060 
114 135 0.097159 0.608135 
114 136 0.094106 0.608306 
114 137 0.094517 0.608326 
114 138 0.091916 0.608378 
114 139 0.089735 0.608385 
114 140 0.091758 0.608437 
114 141 0.085033 0.608661 
114 142 0.086247 0.608562 
114 143 0.088531 0.608734 
114 144 0.088040 0.608771 
114 145 0.084567 0.609012 
114 146 0.091367 0.608844 
114 147 0.093873 0.608930 
114 148 0.093712 0.609116 
114 149 0.090537 0.609305 
114 150 0.092298 0.609348 
114 151 0.092362 0.609458 
114 152 0.093948 0.609560 
114 153 0.092558 0.609396 
114 154 0.091913 0.609398 
114 155 0.092964 0.609381 
114 156 0.091477 0.609623 
114 157 0.091210 0.609587 
114 158 0.090802 0.609693 
114 159 0.092667 0.609679 
114 160 0.094994 0.609639 
114 161 0.095266 0.609775 
114 162 0.098168 0.609795 
114 163 0.102508 0.609749 
114 164 0.097055 0.609992 
114 165 0.098149 0.610046 
114 166 0.097975 0.610043 
114 167 0.100255 0.610031 
114 168 0.099839 0.610111 
114 169 0.102463 0.610121 
114 170 0.098492 0.610264 
114 171 0.100154 0.610168 
114 172 0.098319 0.610256 
114 173 0.100109 0.610232 
114 174 0.099796 0.610273 
114 175 0.103382 0.610286 
114 176 0.102606 0.610369 
114 177 0.102119 0.610410 
114 178 0.105688 0.610399 
114 179 0.105748 0.610436 
114 180 0.103101 0.610604 
114 181 0.100915 0.610640 
114 182 0.103068 0.610623 
114 183 0.100725 0.610703 
114 184 0.098041 0.610620 
114 185 0.096162 0.610696 
114 186 0.093101 0.610795 
114 187 0.095864 0.610899 
114 188 0.095187 0.611059 
114 189 0.092502 0.611160 
114 190 0.088294 0.611337 
114 191 0.086622 0.611509 
114 192 0.083321 0.611664 
114 193 0.085471 0.611641 
114 194 0.088284 0.611644 
114 195 0.088085 0.611592 
114 196 0.090893 0.611545 
114 197 0.090914 0.611517 
114 198 0.090324 0.611611 
114 199 0.090905 0.611691 
114 200 0.090229 0.611739 
114 201 0.089999 0.611678 
114 202 0.091329 0.611634 
114 203 0.089669 0.611698 
114 204 0.086203 0.611828 
114 205 0.083079 0.611969 
114 206 0.084186 0.612023 
114 207 0.083098 0.612133 
114 208 0.082510 0.612227 
114 209 0.084117 0.612160 
114 210 0.082053 0.612105 
114 211 0.078709 0.612244 
114 212 0.077522 0.612249 
114 213 0.075012 0.612337 
114 214 0.076172 0.612368 
114 215 0.073520 0.612522 
114 216 0.073891 0.612574 
114 217 0.076024 0.612501 
114 218 0.077694 0.612473 
114 219 0.076749 0.612558 
114 220 0.077821 0.612550 
114 221 0.079010 0.612548 
114 222 0.076113 0.612602 
114 223 0.074807 0.612709 
114 224 0.073982 0.612756 
114 225 0.074578 0.612834 
114 226 0.075217 0.612833 
114 227 0.075225 0.612889 
114 228 0.073063 0.613080 
114 229 0.072892 0.613099 
114 230 0.071785 0.613183 
114 231 0.071261 0.613341 
114 232 0.073078 0.613400 
114 233 0.071013 0.613455 
114 234 0.068871 0.613553 
114 235 0.067735 0.613605 
114 236 0.065060 0.613615 
114 237 0.065488 0.613692 
114 238 0.065889 0.613743 
114 239 0.065219 0.613835 
114 240 0.065929 0.613852 
114 241 0.065697 0.613907 
114 242 0.064128 0.613951 
114 243 0.063404 0.614022 
114 244 0.061095 0.614098 
114 245 0.065716 0.613912 
114 246 0.063033 0.613970 
114 247 0.064166 0.614015 
114 248 0.065510 0.613971 
114 249 0.063370 0.614095 
114 250 0.064680 0.614097 
3 0 0.152463 0.483122 
3 1 0.267123 0.503231 
3 2 0.132220 0.519333 
3 3 0.186572 0.530965 
3 4 0.238726 0.539664 
3 5 0.157160 0.548716 
3 6 0.159617 0.555891 
3 7 0.174722 0.562097 
3 8 0.127463 0.566171 
3 9 0.123643 0.567982 
3 10 0.116227 0.569266 
3 11 0.137146 0.569619 
3 12 0.172445 0.570202 
3 13 0.199073 0.572737 
3 14 0.172048 0.575276 
3 15 0.207716 0.575043 
3 16 0.182709 0.576691 
3 17 0.188392 0.578685 
3 18 0.238694 0.579417 
3 19 0.253068 0.579865 
3 20 0.274446 0.580558 
3 21 0.215457 0.582009 
3 22 0.200522 0.582985 
3 23 0.180943 0.583226 
3 24 0.184047 0.583027 
3 25 0.184298 0.582741 
3 26 0.135013 0.583837 
3 27 0.149764 0.584401 
3 28 0.146887 0.585480 
3 29 0.146232 0.586330 
3 30 0.116628 0.587593 
3 31 0.123429 0.587983 
3 32 0.117316 0.588480 
3 33 0.094408 0.589782 
3 34 0.098162 0.590481 
3 35 0.074843 0.590578 
3 36 0.085808 0.591490 
3 37 0.080216 0.592413 
3 38 0.069739 0.593016 
3 39 0.074040 0.593435 
3 40 0.078671 0.593490 
3 41 0.094176 0.594307 
3 42 0.077093 0.594691 
3 43 0.063948 0.594937 
3 44 0.075642 0.595161 
3 45 0.070844 0.595167 
3 46 0.069565 0.595641 
3 47 0.053849 0.595958 
3 48 0.057058 0.596662 
3 49 0.055927 0.597237 
3 50 0.058967 0.597013 
3 51 0.064873 0.597055 
3 52 0.069390 0.597833 
3 53 0.067359 0.598313 
3 54 0.070087 0.598208 
3 55 0.078241 0.598302 
3 56 0.074211 0.598337 
3 57 0.073163 0.598572 
3 58 0.072078 0.598757 
3 59 0.075419 0.598824 
3 60 0.073721 0.599520 
3 61 0.077945 0.599692 
3 62 0.076928 0.599807 
3 63 0.076408 0.599948 
3 64 0.078963 0.600102 
3 65 0.076394 0.600368 
3 66 0.077263 0.600359 
3 67 0.075896 0.600484 
3 68 0.073799 0.600542 
3 69 0.070727 0.600560 
3 70 0.066064 0.600686 
3 71 0.063274 0.600898 
3 72 0.069457 0.601024 
3 73 0.068796 0.600974 
3 74 0.071025 0.600915 
3 75 0.071873 0.600968 
3 76 0.067345 0.601235 
3 77 0.071840 0.601281 
3 78 0.069959 0.601354 
3 79 0.064642 0.601495 
3 80 0.066068 0.601528 
3 81 0.064795 0.601738 
