Run Iter RMSE Test_Error
110 0 0.210982 0.000000 
110 1 0.185811 0.000000 
110 2 0.173830 0.000000 
110 3 0.198567 0.000000 
110 4 0.199285 0.000000 
110 5 0.202509 0.000000 
110 6 0.180000 0.000000 
110 7 0.177157 0.000000 
110 8 0.168221 0.000000 
110 9 0.163609 0.000000 
110 10 0.174070 0.000000 
110 11 0.171360 0.000000 
110 12 0.164184 0.000000 
110 13 0.159373 0.000000 
110 14 0.155508 0.000000 
110 15 0.190375 0.000000 
110 16 0.177004 0.000000 
110 17 0.179876 0.000000 
110 18 0.170556 0.000000 
110 19 0.147324 0.000000 
110 20 0.148316 0.000000 
110 21 0.145201 0.000000 
110 22 0.144078 0.000000 
110 23 0.128830 0.000000 
110 24 0.136875 0.000000 
110 25 0.123280 0.000000 
110 26 0.122434 0.000000 
110 27 0.109827 0.000000 
110 28 0.099598 0.000000 
110 29 0.095532 0.000000 
110 30 0.097642 0.000000 
110 31 0.093705 0.000000 
110 32 0.095379 0.000000 
110 33 0.090686 0.000000 
110 34 0.088992 0.000000 
110 35 0.092503 0.000000 
110 36 0.090022 0.000000 
110 37 0.090551 0.000000 
110 38 0.082209 0.000000 
110 39 0.082824 0.000000 
110 40 0.085382 0.000000 
110 41 0.084772 0.000000 
110 42 0.083552 0.000000 
110 43 0.079408 0.000000 
110 44 0.083901 0.000000 
110 45 0.080967 0.000000 
110 46 0.081481 0.000000 
110 47 0.082545 0.000000 
110 48 0.083320 0.000000 
110 49 0.077936 0.000000 
110 50 0.083417 0.000000 
110 51 0.081886 0.000000 
110 52 0.088305 0.000000 
110 53 0.083965 0.000000 
110 54 0.077391 0.000000 
110 55 0.073159 0.000000 
110 56 0.072268 0.000000 
110 57 0.075190 0.000000 
110 58 0.072708 0.000000 
110 59 0.078762 0.000000 
110 60 0.076465 0.000000 
110 61 0.074795 0.000000 
110 62 0.075343 0.000000 
110 63 0.071753 0.000000 
110 64 0.075009 0.000000 
110 65 0.077572 0.000000 
110 66 0.075853 0.000000 
110 67 0.079614 0.000000 
110 68 0.080174 0.000000 
110 69 0.079890 0.000000 
110 70 0.080350 0.000000 
61 0 0.411295 0.000000 
61 1 0.363480 0.000000 
61 2 0.233025 0.000000 
61 3 0.174052 0.000000 
61 4 0.145289 0.000000 
61 5 0.176051 0.000000 
61 6 0.162032 0.000000 
61 7 0.166931 0.000000 
61 8 0.159329 0.000000 
61 9 0.140881 0.000000 
61 10 0.091219 0.000000 
61 11 0.074163 0.000000 
61 12 0.081648 0.000000 
61 13 0.077418 0.000000 
61 14 0.084528 0.000000 
61 15 0.091005 0.000000 
61 16 0.099199 0.000000 
61 17 0.084227 0.000000 
61 18 0.076311 0.000000 
61 19 0.075328 0.000000 
61 20 0.076182 0.000000 
61 21 0.075365 0.000000 
61 22 0.079889 0.000000 
61 23 0.079538 0.000000 
61 24 0.075170 0.000000 
61 25 0.078062 0.000000 
61 26 0.086143 0.000000 
61 27 0.089462 0.000000 
61 28 0.084562 0.000000 
61 29 0.087609 0.000000 
61 30 0.086601 0.000000 
61 31 0.083574 0.000000 
61 32 0.095628 0.000000 
61 33 0.078162 0.000000 
61 34 0.070273 0.000000 
