Run Iter RMSE Test_Error
189 0 0.406282 0.492629 
189 1 0.334828 0.522735 
189 2 0.339226 0.540728 
189 3 0.218595 0.559219 
189 4 0.170054 0.574000 
189 5 0.157921 0.584499 
189 6 0.155402 0.590212 
189 7 0.161390 0.598150 
189 8 0.150280 0.601439 
189 9 0.147443 0.606816 
189 10 0.106994 0.612602 
189 11 0.125819 0.613132 
189 12 0.118761 0.598097 
189 13 0.131159 0.602579 
189 14 0.098918 0.607413 
189 15 0.061229 0.609958 
189 16 0.066133 0.603637 
189 17 0.064735 0.607349 
189 18 0.059602 0.610546 
189 19 0.070046 0.614023 
189 20 0.088568 0.614661 
189 21 0.069375 0.617410 
189 22 0.051784 0.619163 
189 23 0.042484 0.621802 
189 24 0.043903 0.622637 
189 25 0.046071 0.624513 
189 26 0.036836 0.626731 
189 27 0.048835 0.627663 
189 28 0.055095 0.628993 
189 29 0.052794 0.629302 
189 30 0.053861 0.631120 
189 31 0.048290 0.632753 
189 32 0.046043 0.633006 
189 33 0.046117 0.634598 
189 34 0.047027 0.635790 
189 35 0.058503 0.622228 
189 36 0.059955 0.623830 
189 37 0.061248 0.621092 
189 38 0.061433 0.622418 
189 39 0.061463 0.623668 
189 40 0.080429 0.611539 
189 41 0.078746 0.609295 
189 42 0.077051 0.611065 
189 43 0.072763 0.600906 
189 44 0.072837 0.602599 
189 45 0.073644 0.604410 
189 46 0.076172 0.605730 
189 47 0.075007 0.606481 
189 48 0.077451 0.607996 
189 49 0.078256 0.609240 
189 50 0.079409 0.610765 
189 51 0.092147 0.601245 
189 52 0.098309 0.592994 
189 53 0.092819 0.585623 
189 54 0.095030 0.587209 
189 55 0.092874 0.588956 
189 56 0.099835 0.590314 
189 57 0.101254 0.591972 
189 58 0.102307 0.592890 
189 59 0.101805 0.591300 
189 60 0.101521 0.583085 
189 61 0.101073 0.584708 
189 62 0.100579 0.586326 
189 63 0.102256 0.587587 
189 64 0.111877 0.588765 
189 65 0.108341 0.589511 
189 66 0.109417 0.590969 
189 67 0.110765 0.590014 
189 68 0.106367 0.591456 
189 69 0.104062 0.585607 
189 70 0.107363 0.586687 
189 71 0.107468 0.588088 
189 72 0.106797 0.589258 
189 73 0.105603 0.590593 
189 74 0.105967 0.591663 
