Run Iter RMSE Test_Error
102 0 0.623673 0.506619 
102 1 0.521334 0.492657 
102 2 0.627813 0.492338 
102 3 0.739558 0.497449 
102 4 0.699751 0.497127 
102 5 0.664374 0.494315 
102 6 0.567963 0.495433 
102 7 0.647940 0.515685 
102 8 0.496167 0.492069 
102 9 0.455879 0.493229 
102 10 0.476333 0.490765 
102 11 0.495871 0.491070 
102 12 0.452317 0.493032 
102 13 0.476337 0.495126 
102 14 0.479951 0.499144 
102 15 0.533431 0.515118 
102 16 0.520634 0.515977 
102 17 0.362392 0.493816 
102 18 0.273736 0.488700 
102 19 0.348781 0.490302 
102 20 0.346813 0.489888 
102 21 0.303245 0.490452 
102 22 0.293118 0.491367 
102 23 0.283052 0.491425 
102 24 0.287308 0.492179 
102 25 0.288255 0.492265 
102 26 0.249492 0.491370 
102 27 0.280702 0.491464 
102 28 0.272259 0.492065 
102 29 0.238362 0.492925 
102 30 0.214833 0.491681 
102 31 0.226793 0.491087 
102 32 0.259580 0.491791 
102 33 0.243320 0.489912 
102 34 0.238428 0.490003 
102 35 0.218146 0.489849 
102 36 0.301870 0.494739 
102 37 0.313389 0.495849 
102 38 0.340597 0.496764 
102 39 0.353396 0.496955 
102 40 0.285708 0.493634 
102 41 0.292996 0.493376 
102 42 0.284781 0.494163 
102 43 0.296634 0.494952 
102 44 0.288116 0.494804 
102 45 0.277174 0.497117 
102 46 0.287683 0.496554 
102 47 0.293720 0.498343 
102 48 0.269325 0.496617 
102 49 0.276128 0.498408 
102 50 0.281490 0.499070 
102 51 0.236714 0.496755 
102 52 0.209184 0.494696 
102 53 0.139255 0.491364 
102 54 0.152227 0.491493 
102 55 0.142483 0.491175 
102 56 0.144438 0.490843 
102 57 0.162490 0.491629 
102 58 0.138289 0.490505 
102 59 0.171887 0.492042 
102 60 0.172118 0.492268 
102 61 0.178326 0.492431 
102 62 0.210320 0.494150 
102 63 0.199568 0.493456 
102 64 0.207673 0.492970 
102 65 0.267720 0.496173 
102 66 0.292218 0.498287 
102 67 0.271000 0.496885 
102 68 0.309329 0.499085 
102 69 0.294377 0.498076 
102 70 0.265913 0.496536 
102 71 0.279728 0.497958 
102 72 0.260809 0.497286 
102 73 0.237436 0.495643 
102 74 0.177458 0.492943 
102 75 0.151529 0.491475 
102 76 0.170594 0.491994 
102 77 0.172274 0.491886 
102 78 0.146457 0.491274 
102 79 0.148561 0.491194 
102 80 0.157536 0.491708 
102 81 0.138490 0.491754 
102 82 0.152449 0.491819 
102 83 0.124783 0.491153 
102 84 0.131809 0.491644 
102 85 0.109981 0.491344 
102 86 0.092997 0.491129 
102 87 0.096963 0.491187 
102 88 0.093580 0.491170 
102 89 0.104654 0.490927 
102 90 0.098541 0.491231 
102 91 0.090321 0.491183 
102 92 0.100236 0.491176 
102 93 0.107586 0.491488 
102 94 0.124160 0.491420 
102 95 0.118161 0.491586 
102 96 0.121179 0.491797 
102 97 0.091110 0.491240 
102 98 0.100737 0.491279 
102 99 0.115949 0.491512 
102 100 0.133543 0.492149 
102 101 0.118279 0.491764 
102 102 0.119290 0.491709 
102 103 0.102123 0.491866 
102 104 0.115528 0.492103 
102 105 0.129630 0.492452 
102 106 0.115141 0.492161 
102 107 0.112936 0.491919 
102 108 0.106599 0.492203 
102 109 0.094089 0.491992 
102 110 0.093221 0.492289 
102 111 0.106412 0.492615 
102 112 0.104438 0.492579 
102 113 0.119232 0.493559 
102 114 0.100154 0.493403 
102 115 0.084919 0.492941 
102 116 0.098373 0.493286 
102 117 0.101468 0.493296 
102 118 0.096690 0.493057 
102 119 0.095955 0.493063 
102 120 0.078153 0.492981 
102 121 0.080480 0.493221 
102 122 0.101919 0.494156 
102 123 0.123462 0.495210 
102 124 0.119496 0.494586 
102 125 0.147981 0.495804 
