Run Iter RMSE Test_Error
14 0 0.288139 0.482035 
14 1 0.275990 0.488410 
14 2 0.231914 0.488024 
14 3 0.327255 0.490979 
14 4 0.225305 0.492050 
14 5 0.212290 0.492874 
14 6 0.268358 0.493521 
14 7 0.253118 0.492449 
14 8 0.225044 0.492705 
14 9 0.241650 0.493408 
14 10 0.210458 0.494813 
14 11 0.131191 0.495532 
14 12 0.093139 0.495018 
14 13 0.133525 0.494020 
14 14 0.140629 0.493606 
14 15 0.067267 0.493491 
14 16 0.050549 0.493043 
14 17 0.052165 0.492204 
14 18 0.030666 0.492061 
14 19 0.054202 0.491546 
14 20 0.084900 0.490999 
14 21 0.098048 0.490270 
14 22 0.074219 0.490878 
14 23 0.106194 0.490986 
14 24 0.070547 0.490392 
14 25 0.090421 0.490478 
14 26 0.063466 0.490816 
14 27 0.047774 0.491095 
14 28 0.026874 0.490451 
14 29 0.030797 0.490347 
14 30 0.031701 0.490828 
14 31 0.037769 0.490782 
14 32 0.036249 0.491540 
14 33 0.049203 0.492073 
14 34 0.052267 0.491894 
14 35 0.041079 0.492172 
14 36 0.044572 0.491659 
14 37 0.073278 0.491402 
14 38 0.090031 0.491579 
14 39 0.095658 0.491764 
14 40 0.116443 0.491642 
14 41 0.100397 0.491580 
14 42 0.090260 0.491200 
14 43 0.109773 0.491373 
14 44 0.102872 0.491201 
14 45 0.104319 0.491175 
14 46 0.103431 0.491235 
14 47 0.089327 0.491714 
14 48 0.105775 0.491611 
14 49 0.093532 0.491849 
14 50 0.062809 0.491779 
14 51 0.071584 0.491966 
14 52 0.064539 0.492215 
14 53 0.059195 0.492055 
14 54 0.041638 0.492119 
14 55 0.058610 0.491985 
14 56 0.025115 0.491910 
14 57 0.038190 0.491920 
14 58 0.031512 0.491858 
14 59 0.027826 0.491982 
14 60 0.019705 0.491925 
14 61 0.018854 0.491867 
14 62 0.021417 0.491927 
14 63 0.021412 0.492052 
14 64 0.022326 0.492009 
14 65 0.025772 0.492039 
14 66 0.026748 0.492004 
14 67 0.039620 0.492148 
14 68 0.033803 0.492003 
14 69 0.035150 0.491903 
14 70 0.042755 0.491683 
141 0 0.326478 0.494747 
141 1 0.286643 0.492053 
141 2 0.284915 0.492466 
141 3 0.516183 0.491914 
141 4 0.476451 0.490875 
141 5 0.479752 0.492954 
141 6 0.397126 0.492261 
141 7 0.364160 0.490593 
141 8 0.315325 0.490602 
141 9 0.217273 0.491490 
141 10 0.195375 0.493276 
141 11 0.168482 0.493693 
141 12 0.202124 0.494070 
141 13 0.201708 0.494527 
141 14 0.200491 0.495457 
141 15 0.225845 0.495654 
141 16 0.220166 0.495216 
141 17 0.205812 0.494268 
141 18 0.223852 0.494517 
141 19 0.213137 0.494396 
141 20 0.209159 0.494090 
141 21 0.217935 0.494314 
141 22 0.185672 0.495130 
141 23 0.198067 0.494693 
141 24 0.204218 0.494517 
141 25 0.210862 0.494402 
141 26 0.209411 0.493813 
141 27 0.183178 0.493509 
141 28 0.201046 0.493496 
141 29 0.206193 0.493660 
141 30 0.168956 0.493766 
141 31 0.141485 0.494096 
141 32 0.156088 0.494384 
141 33 0.162711 0.494765 
141 34 0.149026 0.495020 
141 35 0.148482 0.494597 
141 36 0.163806 0.494302 
141 37 0.181567 0.494078 
141 38 0.202359 0.493977 
141 39 0.214777 0.493795 
141 40 0.197664 0.493901 
141 41 0.193298 0.494010 
141 42 0.197563 0.493824 
141 43 0.211759 0.493689 
141 44 0.233375 0.494041 
141 45 0.243618 0.494326 
141 46 0.245411 0.494418 
141 47 0.209319 0.494118 
141 48 0.195915 0.494013 
141 49 0.168642 0.494051 
141 50 0.176165 0.494073 
141 51 0.164371 0.493628 
141 52 0.165777 0.493507 
141 53 0.151612 0.493419 
141 54 0.180368 0.493564 
141 55 0.182578 0.493616 
141 56 0.162898 0.493743 
141 57 0.163428 0.494037 
141 58 0.173004 0.494232 
141 59 0.157795 0.494290 
141 60 0.156698 0.494020 
141 61 0.145081 0.493864 
141 62 0.145703 0.493605 
141 63 0.138232 0.493529 
141 64 0.142735 0.493711 
141 65 0.150048 0.494001 
141 66 0.151367 0.494107 
141 67 0.146663 0.494210 
141 68 0.125497 0.494123 
141 69 0.114918 0.493884 
141 70 0.111443 0.493891 
114 0 0.383853 0.501187 
114 1 0.183485 0.501351 
114 2 0.142525 0.501598 
114 3 0.217502 0.499727 
114 4 0.146334 0.498810 
114 5 0.195685 0.497078 
114 6 0.218377 0.495764 
114 7 0.243346 0.496053 
114 8 0.262021 0.495741 
114 9 0.210314 0.495308 
114 10 0.224231 0.493296 
114 11 0.166459 0.491945 
114 12 0.189186 0.490982 
114 13 0.176688 0.490417 
114 14 0.129101 0.491144 
114 15 0.107434 0.491881 
114 16 0.070917 0.491090 
114 17 0.083418 0.490931 
