Run Iter RMSE Test_Error
194 0 0.291046 0.479214 
194 1 0.359346 0.480357 
194 2 0.393923 0.485384 
194 3 0.334869 0.490266 
194 4 0.330800 0.486244 
194 5 0.362105 0.488192 
194 6 0.366745 0.487266 
194 7 0.439567 0.486639 
194 8 0.348870 0.486015 
194 9 0.444130 0.484578 
194 10 0.362338 0.485515 
194 11 0.323651 0.485025 
194 12 0.359620 0.486713 
194 13 0.372944 0.486558 
194 14 0.260660 0.487664 
194 15 0.190584 0.487930 
194 16 0.105782 0.487310 
194 17 0.137091 0.487618 
194 18 0.133722 0.487858 
194 19 0.160905 0.487790 
194 20 0.160528 0.487541 
194 21 0.162404 0.486993 
194 22 0.130721 0.487411 
194 23 0.103795 0.487965 
194 24 0.114345 0.488221 
194 25 0.112243 0.488017 
194 26 0.114087 0.488440 
194 27 0.098446 0.489095 
194 28 0.140521 0.489888 
194 29 0.145339 0.489100 
194 30 0.107925 0.488580 
194 31 0.136175 0.488606 
194 32 0.124007 0.488476 
194 33 0.131041 0.489350 
194 34 0.135641 0.489300 
194 35 0.132443 0.489072 
194 36 0.105784 0.489576 
194 37 0.138855 0.490136 
194 38 0.131949 0.490036 
194 39 0.160882 0.489862 
194 40 0.124336 0.489902 
194 41 0.111613 0.490193 
194 42 0.056768 0.489973 
194 43 0.068038 0.489423 
194 44 0.085087 0.489566 
194 45 0.088074 0.489313 
194 46 0.093240 0.488985 
194 47 0.089700 0.488765 
194 48 0.093025 0.488900 
194 49 0.100194 0.489193 
194 50 0.063896 0.489147 
194 51 0.041941 0.489853 
194 52 0.041751 0.489677 
194 53 0.042145 0.489913 
194 54 0.045534 0.490381 
194 55 0.036299 0.490762 
194 56 0.043010 0.491029 
194 57 0.040802 0.491420 
194 58 0.034010 0.491244 
194 59 0.034942 0.490868 
194 60 0.033808 0.490898 
194 61 0.035459 0.490382 
194 62 0.023085 0.490244 
194 63 0.024540 0.490350 
194 64 0.039679 0.490751 
194 65 0.038523 0.490522 
194 66 0.049006 0.490279 
194 67 0.061496 0.490155 
194 68 0.082775 0.490261 
194 69 0.092043 0.489898 
194 70 0.083368 0.490004 
194 71 0.074083 0.490093 
194 72 0.078737 0.490137 
194 73 0.073633 0.490059 
194 74 0.069377 0.489962 
194 75 0.072863 0.489744 
194 76 0.061000 0.489813 
194 77 0.069819 0.490159 
194 78 0.085775 0.490188 
194 79 0.097862 0.490389 
194 80 0.102433 0.490709 
194 81 0.087520 0.490859 
194 82 0.090414 0.490639 
194 83 0.078481 0.490536 
194 84 0.077121 0.490665 
194 85 0.071559 0.490660 
194 86 0.085250 0.490830 
194 87 0.090721 0.491106 
194 88 0.095422 0.491366 
194 89 0.087846 0.491628 
