Run Iter RMSE Test_Error
128 0 0.208277 0.495492 
128 1 0.247797 0.495632 
128 2 0.289774 0.494327 
128 3 0.309884 0.492748 
128 4 0.361133 0.495619 
128 5 0.312864 0.494394 
128 6 0.325458 0.494082 
128 7 0.326610 0.494289 
128 8 0.274496 0.493717 
128 9 0.219952 0.494491 
128 10 0.171521 0.494073 
128 11 0.077918 0.493769 
128 12 0.114928 0.492798 
128 13 0.153259 0.493406 
128 14 0.162229 0.492985 
128 15 0.169358 0.493361 
128 16 0.120281 0.492962 
128 17 0.157728 0.493507 
128 18 0.145318 0.493564 
128 19 0.162006 0.492997 
128 20 0.154382 0.492585 
128 21 0.136970 0.492957 
128 22 0.146752 0.492977 
128 23 0.117495 0.492790 
128 24 0.140626 0.492856 
128 25 0.151196 0.492647 
128 26 0.147566 0.492445 
128 27 0.103124 0.492393 
128 28 0.095923 0.492125 
128 29 0.098581 0.492030 
128 30 0.120745 0.492039 
128 31 0.124368 0.492470 
128 32 0.121010 0.492242 
128 33 0.121293 0.492489 
128 34 0.116997 0.491744 
128 35 0.116292 0.491641 
128 36 0.124458 0.492280 
128 37 0.126590 0.491994 
128 38 0.116875 0.491738 
128 39 0.080939 0.491301 
128 40 0.107396 0.491048 
128 41 0.102651 0.490911 
128 42 0.102728 0.491172 
128 43 0.092997 0.491377 
128 44 0.082773 0.491516 
128 45 0.082097 0.491325 
128 46 0.090988 0.491148 
128 47 0.084251 0.490878 
128 48 0.085082 0.491093 
128 49 0.074421 0.490898 
128 50 0.086111 0.490689 
128 51 0.070642 0.490467 
128 52 0.078412 0.490948 
128 53 0.082302 0.490846 
128 54 0.081537 0.490951 
128 55 0.086068 0.490739 
128 56 0.083448 0.490674 
128 57 0.095463 0.490532 
128 58 0.091751 0.490516 
128 59 0.102414 0.490718 
128 60 0.106489 0.490732 
128 61 0.102240 0.491264 
128 62 0.087630 0.491614 
128 63 0.098582 0.491469 
128 64 0.110521 0.491590 
128 65 0.108331 0.491642 
128 66 0.118090 0.491502 
128 67 0.110755 0.491639 
128 68 0.097960 0.491713 
128 69 0.117021 0.491795 
128 70 0.121426 0.491524 
123 0 0.231977 0.496140 
123 1 0.277220 0.494374 
123 2 0.216470 0.496821 
123 3 0.151293 0.496084 
123 4 0.130030 0.494318 
123 5 0.090268 0.496806 
123 6 0.070603 0.496150 
123 7 0.045874 0.496171 
123 8 0.052368 0.494353 
123 9 0.082471 0.494614 
123 10 0.123553 0.494417 
123 11 0.145999 0.494683 
123 12 0.217559 0.493674 
123 13 0.218248 0.494118 
123 14 0.199091 0.493829 
123 15 0.254676 0.493282 
123 16 0.222735 0.493401 
123 17 0.217975 0.492312 
123 18 0.185753 0.492500 
123 19 0.191137 0.492245 
123 20 0.177655 0.492094 
123 21 0.147790 0.492659 
123 22 0.163403 0.492330 
123 23 0.136521 0.491964 
123 24 0.151800 0.491836 
123 25 0.144790 0.491507 
123 26 0.127256 0.491557 
123 27 0.131571 0.491262 
123 28 0.131598 0.491630 
123 29 0.098672 0.492087 
123 30 0.124138 0.492280 
123 31 0.128065 0.492169 
123 32 0.114462 0.491762 
123 33 0.097952 0.491785 
123 34 0.067315 0.491202 
123 35 0.082576 0.490888 
123 36 0.107303 0.491581 
123 37 0.117064 0.492181 
123 38 0.093007 0.492628 
123 39 0.082225 0.492443 
123 40 0.067644 0.492544 
123 41 0.045317 0.492073 
123 42 0.049439 0.492024 
123 43 0.047222 0.491969 
123 44 0.050127 0.492692 
123 45 0.052236 0.492847 
123 46 0.062970 0.492885 
123 47 0.059627 0.493354 
123 48 0.075072 0.493050 
123 49 0.074827 0.492999 
123 50 0.076118 0.493426 
123 51 0.068314 0.493689 
123 52 0.059709 0.493627 
123 53 0.058962 0.493719 
123 54 0.036329 0.493412 
123 55 0.036040 0.493540 
123 56 0.033678 0.493555 
123 57 0.033466 0.493227 
123 58 0.035308 0.493225 
123 59 0.032879 0.493258 
123 60 0.034785 0.493388 
123 61 0.041276 0.493277 
123 62 0.038188 0.493508 
123 63 0.039406 0.493861 
123 64 0.046177 0.493608 
123 65 0.050264 0.493779 
123 66 0.050666 0.493603 
123 67 0.052956 0.493660 
123 68 0.052300 0.493714 
123 69 0.053247 0.493744 
123 70 0.051235 0.493466 
103 0 0.106273 0.496142 
103 1 0.236005 0.497709 
103 2 0.256602 0.497673 
103 3 0.271367 0.498486 
103 4 0.244441 0.497198 
103 5 0.191326 0.496506 
103 6 0.200160 0.496253 
103 7 0.148070 0.496922 
103 8 0.105213 0.496418 
103 9 0.114454 0.498052 
103 10 0.131441 0.497162 
103 11 0.086183 0.496782 
103 12 0.086601 0.496330 
103 13 0.092080 0.495413 
103 14 0.084351 0.495887 
103 15 0.077540 0.495012 
103 16 0.058539 0.494632 
103 17 0.072307 0.495850 
103 18 0.041971 0.495078 
103 19 0.082720 0.494876 
103 20 0.054174 0.494833 
103 21 0.114728 0.494699 
103 22 0.115395 0.494752 
103 23 0.093486 0.494540 
103 24 0.101651 0.493960 
103 25 0.089948 0.493377 
103 26 0.110311 0.493558 
103 27 0.125400 0.492879 
103 28 0.129186 0.493293 
103 29 0.071061 0.493290 
103 30 0.068900 0.493237 
103 31 0.068805 0.492636 
103 32 0.052128 0.492742 
103 33 0.067844 0.493085 
103 34 0.072489 0.493046 
103 35 0.079383 0.493092 
103 36 0.101780 0.493210 
103 37 0.095195 0.493172 
103 38 0.088450 0.492865 
103 39 0.072629 0.492963 
103 40 0.049366 0.492778 
103 41 0.043773 0.492410 
103 42 0.031660 0.492427 
103 43 0.029186 0.492252 
103 44 0.018737 0.492762 
103 45 0.021888 0.492856 
103 46 0.025720 0.492826 
103 47 0.018583 0.492776 
103 48 0.014189 0.492406 
103 49 0.026628 0.492065 
103 50 0.020629 0.491976 
103 51 0.029709 0.491856 
103 52 0.020697 0.491816 
103 53 0.028582 0.491815 
103 54 0.024994 0.491856 
103 55 0.008570 0.491864 
103 56 0.020337 0.491857 
103 57 0.023628 0.491743 
103 58 0.011429 0.492025 
103 59 0.013237 0.492030 
103 60 0.024752 0.491801 
103 61 0.016866 0.491708 
103 62 0.024563 0.491864 
103 63 0.033764 0.492077 
103 64 0.020305 0.492035 
103 65 0.011802 0.491969 
103 66 0.013374 0.491899 
103 67 0.015622 0.491871 
103 68 0.025934 0.491812 
103 69 0.015426 0.491908 
103 70 0.013375 0.491877 
100 0 0.244755 0.493206 
100 1 0.180173 0.493819 
100 2 0.134039 0.491243 
100 3 0.073849 0.493843 
100 4 0.090165 0.493331 
100 5 0.126591 0.493339 
100 6 0.155717 0.492412 
100 7 0.136671 0.491393 
100 8 0.193427 0.491620 
100 9 0.126098 0.491308 
100 10 0.099853 0.491433 
100 11 0.094274 0.490134 
100 12 0.095135 0.490002 
100 13 0.090266 0.490243 
100 14 0.087972 0.489911 
100 15 0.052675 0.490261 
100 16 0.044480 0.489727 
100 17 0.037033 0.490345 
100 18 0.071991 0.490982 
100 19 0.054116 0.491269 
100 20 0.051563 0.490871 
100 21 0.037298 0.491391 
100 22 0.032299 0.490690 
100 23 0.033104 0.491082 
100 24 0.030799 0.490999 
100 25 0.018880 0.490779 
100 26 0.017085 0.490949 
100 27 0.024203 0.490343 
100 28 0.016561 0.490870 
100 29 0.011676 0.490723 
100 30 0.029160 0.490310 
100 31 0.024009 0.490185 
100 32 0.042395 0.490237 
100 33 0.039579 0.489992 
100 34 0.039966 0.490205 
100 35 0.018943 0.490694 
100 36 0.033435 0.490996 
100 37 0.046591 0.490981 
100 38 0.037351 0.490949 
100 39 0.031894 0.491481 
100 40 0.053499 0.490970 
100 41 0.048933 0.491103 
100 42 0.067478 0.490663 
100 43 0.077406 0.490370 
100 44 0.051585 0.490379 
100 45 0.048099 0.490289 
100 46 0.078788 0.489988 
100 47 0.071346 0.490117 
100 48 0.056659 0.490089 
100 49 0.054042 0.489650 
100 50 0.062316 0.490056 
100 51 0.048647 0.490071 
100 52 0.045405 0.490022 
100 53 0.040046 0.490144 
100 54 0.043972 0.490351 
100 55 0.032382 0.489888 
100 56 0.038625 0.490230 
100 57 0.042444 0.490434 
100 58 0.045287 0.490230 
100 59 0.027803 0.490169 
100 60 0.039268 0.490361 
100 61 0.028129 0.490349 
100 62 0.033593 0.490260 
100 63 0.038316 0.489968 
100 64 0.034350 0.489626 
100 65 0.033320 0.489735 
100 66 0.030775 0.489857 
100 67 0.032494 0.489926 
100 68 0.023932 0.489965 
100 69 0.029551 0.490117 
100 70 0.022783 0.490152 
108 0 0.195196 0.494409 
108 1 0.094698 0.490239 
108 2 0.163455 0.490584 
108 3 0.226748 0.489636 
108 4 0.090995 0.488513 
108 5 0.168980 0.487508 
108 6 0.151285 0.486739 
108 7 0.123702 0.486074 
108 8 0.131046 0.488551 
108 9 0.074000 0.487736 
108 10 0.064738 0.487647 
108 11 0.062000 0.487705 
108 12 0.049134 0.488940 
108 13 0.032576 0.489056 
108 14 0.062160 0.489118 
108 15 0.060362 0.489424 
108 16 0.053301 0.488678 
108 17 0.066648 0.488864 
108 18 0.069986 0.488749 
108 19 0.080706 0.489016 
108 20 0.115712 0.489048 
108 21 0.102720 0.489713 
108 22 0.073773 0.489896 
108 23 0.059142 0.489552 
108 24 0.077167 0.489900 
108 25 0.090447 0.489743 
108 26 0.065821 0.490245 
108 27 0.073892 0.490435 
108 28 0.094280 0.490626 
108 29 0.054826 0.490509 
108 30 0.050732 0.490439 
108 31 0.009845 0.490244 
108 32 0.013709 0.490281 
108 33 0.017640 0.490545 
108 34 0.049339 0.490661 
108 35 0.069388 0.490715 
108 36 0.041299 0.490605 
108 37 0.023230 0.490330 
108 38 0.028072 0.490454 
108 39 0.042660 0.490459 
108 40 0.030015 0.490327 
108 41 0.036849 0.490634 
108 42 0.034685 0.490756 
108 43 0.031616 0.490702 
108 44 0.034781 0.490509 
108 45 0.036970 0.490370 
108 46 0.063096 0.490668 
108 47 0.046975 0.490663 
108 48 0.046539 0.490549 
108 49 0.048430 0.490227 
108 50 0.050815 0.490165 
108 51 0.059018 0.490185 
108 52 0.045155 0.490180 
108 53 0.043237 0.489966 
108 54 0.069003 0.489635 
108 55 0.063871 0.489812 
108 56 0.071164 0.490061 
108 57 0.079117 0.489912 
108 58 0.086426 0.489830 
108 59 0.072663 0.489768 
108 60 0.069732 0.489900 
108 61 0.065759 0.490080 
108 62 0.061329 0.490124 
108 63 0.069163 0.490031 
108 64 0.075942 0.489681 
108 65 0.074760 0.489589 
108 66 0.078406 0.489562 
108 67 0.065096 0.489604 
108 68 0.072363 0.489553 
108 69 0.056570 0.489419 
108 70 0.078123 0.489517 
131 0 0.433236 0.490273 
131 1 0.466425 0.488665 
131 2 0.348899 0.490017 
131 3 0.371653 0.490678 
131 4 0.325447 0.490948 
131 5 0.269492 0.491123 
131 6 0.266693 0.491322 
131 7 0.195898 0.490225 
131 8 0.161132 0.489061 
131 9 0.115247 0.489217 
131 10 0.105270 0.489022 
131 11 0.078977 0.488441 
131 12 0.071224 0.488033 
131 13 0.061176 0.488319 
131 14 0.081130 0.488344 
131 15 0.072076 0.487825 
131 16 0.071657 0.488135 
131 17 0.091690 0.488532 
131 18 0.101680 0.489562 
131 19 0.110577 0.489980 
131 20 0.091473 0.489037 
131 21 0.075269 0.488703 
131 22 0.116675 0.488927 
131 23 0.118304 0.488787 
131 24 0.117897 0.488306 
131 25 0.108325 0.488847 
131 26 0.129544 0.489578 
131 27 0.133494 0.489848 
131 28 0.134961 0.490265 
131 29 0.099648 0.490939 
131 30 0.086863 0.491481 
131 31 0.064363 0.491608 
131 32 0.072759 0.491315 
131 33 0.053046 0.491446 
131 34 0.041915 0.491855 
131 35 0.032100 0.491542 
131 36 0.028971 0.491166 
131 37 0.038159 0.490997 
131 38 0.033994 0.491440 
131 39 0.033748 0.491293 
131 40 0.044718 0.491228 
131 41 0.062759 0.491278 
131 42 0.057731 0.491017 
131 43 0.064548 0.491159 
131 44 0.041791 0.491364 
131 45 0.038312 0.491475 
131 46 0.039084 0.491662 
131 47 0.056766 0.491804 
131 48 0.066441 0.492107 
131 49 0.054820 0.492154 
131 50 0.057710 0.492026 
131 51 0.064379 0.492029 
131 52 0.069577 0.492025 
131 53 0.071584 0.491875 
131 54 0.083753 0.491509 
131 55 0.075777 0.491444 
131 56 0.077065 0.491483 
131 57 0.070711 0.491391 
131 58 0.092524 0.491426 
131 59 0.099791 0.491319 
131 60 0.094031 0.491256 
131 61 0.088696 0.491214 
131 62 0.086524 0.491328 
131 63 0.076884 0.491272 
131 64 0.068102 0.491363 
131 65 0.058291 0.491472 
131 66 0.053381 0.491762 
131 67 0.039813 0.491513 
131 68 0.039157 0.491370 
131 69 0.036165 0.491290 
131 70 0.035994 0.491348 
121 0 0.208909 0.493355 
121 1 0.206011 0.489221 
121 2 0.142532 0.491238 
121 3 0.092059 0.491082 
121 4 0.055301 0.491182 
121 5 0.071559 0.490472 
121 6 0.058735 0.490219 
121 7 0.120167 0.489527 
121 8 0.105932 0.490168 
121 9 0.132126 0.490549 
121 10 0.167014 0.490196 
121 11 0.117203 0.489775 
121 12 0.092576 0.490224 
121 13 0.087258 0.490135 
121 14 0.097843 0.489989 
121 15 0.082455 0.489783 
121 16 0.101284 0.489732 
121 17 0.088702 0.490285 
121 18 0.080297 0.490553 
121 19 0.050198 0.490087 
121 20 0.032736 0.489927 
121 21 0.045461 0.489851 
121 22 0.046379 0.489869 
121 23 0.056923 0.490226 
121 24 0.066344 0.490841 
121 25 0.068654 0.491153 
121 26 0.108208 0.491304 
121 27 0.125878 0.491839 
121 28 0.145728 0.492020 
121 29 0.152343 0.491436 
121 30 0.138163 0.491164 
121 31 0.114719 0.491516 
121 32 0.102792 0.491067 
121 33 0.086837 0.491227 
121 34 0.083501 0.490984 
121 35 0.102869 0.490766 
121 36 0.102889 0.491097 
121 37 0.082944 0.490802 
121 38 0.087245 0.490961 
121 39 0.071163 0.490748 
121 40 0.100099 0.490518 
121 41 0.089875 0.490320 
121 42 0.104905 0.490362 
121 43 0.111355 0.490370 
121 44 0.099031 0.490054 
121 45 0.108518 0.490187 
121 46 0.115635 0.490543 
121 47 0.127186 0.490166 
121 48 0.128545 0.490137 
121 49 0.129785 0.490209 
121 50 0.112851 0.490324 
121 51 0.102950 0.490382 
121 52 0.096665 0.490424 
121 53 0.111979 0.490363 
121 54 0.091883 0.490446 
121 55 0.073499 0.490410 
121 56 0.081055 0.490371 
121 57 0.093220 0.490568 
121 58 0.094802 0.490447 
121 59 0.090665 0.490749 
121 60 0.095977 0.490694 
121 61 0.096960 0.490537 
121 62 0.116084 0.490657 
121 63 0.126404 0.490456 
121 64 0.114189 0.490197 
121 65 0.086518 0.490039 
121 66 0.067341 0.490613 
121 67 0.073305 0.490716 
121 68 0.083251 0.490389 
121 69 0.090772 0.490410 
121 70 0.091138 0.490693 
132 0 0.293279 0.495928 
132 1 0.163106 0.495343 
132 2 0.185332 0.492943 
132 3 0.178311 0.492313 
132 4 0.126842 0.493717 
132 5 0.136202 0.491385 
132 6 0.120905 0.491407 
132 7 0.114249 0.491456 
132 8 0.083237 0.490938 
132 9 0.098140 0.491645 
132 10 0.086712 0.491676 
132 11 0.085819 0.490661 
132 12 0.083305 0.490934 
132 13 0.096635 0.491118 
132 14 0.132255 0.491442 
132 15 0.140748 0.491295 
132 16 0.137003 0.490926 
132 17 0.110953 0.491107 
132 18 0.104663 0.491082 
132 19 0.079388 0.490331 
132 20 0.079471 0.490255 
132 21 0.083313 0.490305 
132 22 0.077304 0.490319 
132 23 0.075728 0.490570 
132 24 0.101765 0.490737 
132 25 0.097184 0.490236 
132 26 0.106392 0.490190 
132 27 0.115757 0.490526 
132 28 0.110494 0.490688 
132 29 0.106930 0.490857 
132 30 0.093285 0.490864 
132 31 0.077094 0.490587 
132 32 0.067722 0.490808 
132 33 0.059158 0.490444 
132 34 0.064216 0.490375 
132 35 0.071176 0.490128 
132 36 0.078259 0.490338 
132 37 0.072059 0.490717 
132 38 0.068469 0.490342 
132 39 0.076293 0.490370 
132 40 0.081823 0.490495 
132 41 0.075190 0.490333 
132 42 0.075991 0.490438 
132 43 0.073739 0.490690 
132 44 0.067041 0.490623 
132 45 0.069595 0.490545 
132 46 0.072298 0.490742 
132 47 0.062854 0.490870 
132 48 0.064460 0.490743 
132 49 0.063716 0.490768 
